customer_nk,original_incentive_name
8f133760-95ca-42db-a455-459296494d3a,Control
dc96dc91-8afb-4612-9b96-eb8a5ea3c912,Control
8ad16ff1-1c7a-4979-8055-a72df418c077,Control
1f98a3cd-15d9-416e-9f80-508b0216d364,Control
cb3627ff-f84f-4570-a2c8-3a4932e2d5ba,Control
3b17f7ff-7dbf-4a02-967c-ae73e0f5e493,Control
f66a08fe-fb04-4e62-92a6-f67751b3662f,Control
af8f4dfa-4176-4c61-8674-ccb0e51bb8c4,Control
2e652c45-8001-4089-b280-a64ff2367535,Control
90696f8a-7bc5-4535-98ed-0bd2ad5d1212,Control
46fa9cc1-ca5f-41d0-bc4f-7c7b631dd3eb,Control
beaf9260-d712-4ee3-9bda-2ca875f453dc,Control
9a17394d-18b7-4a13-9f9f-4f32291152ce,Control
28d14983-ef06-467c-ac1d-4f2a056fca9c,Control
cd803685-5335-45f4-8baa-6ac237fe81d4,Control
ea1299b0-9084-44a0-8f21-95d99c7d5c6a,Control
8098eb3b-8e83-4bab-ab86-ebc3394593d9,Control
a8e70dd5-85c5-4004-bfe4-fe81b7a167ed,Control
46ef69f0-6a17-4915-9b73-fc879b261351,Control
d17e7810-c0c6-4847-afe9-986bf19bea02,Control
9336b90d-7320-4c2d-a097-c4d747ffc7a8,Control
f8b76553-d4dc-4c1a-ac63-09ea44ddaa8c,Control
c3b957c7-31c2-4b5a-9c65-2cfbd1a44243,Control
84dd77b4-a5e1-46f9-86ae-de88558f8ca7,Control
6e130a8e-0f92-4499-89ac-831945fb4cbf,Control
3d3d8981-b98b-4354-881e-8930bbd8e56b,Control
dd36ca9e-58fa-45df-995e-8a76846060c5,Control
899594fc-625c-4142-aa95-a1ded45af2b8,Control
80878a19-0542-434f-9781-d6489e291f2e,Control
d859591a-eb78-4804-9503-6d929ca7acd9,Control
d496c898-00cf-45da-bfb9-fdd25a8416e8,Control
89e2cb33-3e7a-45f3-9fba-b54723eeff01,Control
99935600-ae8b-467e-8c90-272fd701b2ce,Control
bfd3a067-7e44-4f18-9aa1-b03959e74137,Control
1d8edd7e-7790-458d-a2b1-31642bc23ecf,Control
2501f454-742f-44ac-ab61-c3fdabe8e9c9,Control
1944b01d-640a-485a-b566-5abf38901dc0,Control
bef97bf1-2e11-4122-ac6f-aef3de8de2f7,Control
b74c4cf1-1106-486a-b19f-799116c761e8,Control
4f613cef-1502-4b3b-bf7a-91bb040a9ddc,Control
6a84f267-9eae-439c-9dfc-2c2f85da4250,Control
a6cb7729-8a19-4793-8649-70dca0608e6a,Control
105f7e6a-9b24-4106-bc60-936af06893a0,Control
eac0140a-a7e9-4995-aecb-b1ebb972878f,Control
8af5a7f7-2fc0-4a6b-89da-3b9b444cd558,Control
414c39ea-34f4-4d34-a841-f083a893b37c,Control
adbfea72-3fa3-413c-bc99-055b92ccbfea,Control
f85e9284-03e7-4980-88c3-1fcc85cb5eb3,Control
2109b684-678a-41b3-91b0-e7e22ffb609c,Control
9bbb2cc1-147a-4d4f-ad34-52de2a05547e,Control
ab53cf68-b8e5-4c7a-b1b6-f83920149298,Control
09cfb709-0440-42cc-b1be-f3a5f83acbaf,Control
ca4db017-f7f9-4ec7-b5a9-2599f539d3f9,Control
f03822db-6051-49a2-a3f5-f16e6e469c32,Control
427cfc03-4c05-42da-a0ae-f185ab967f5c,Control
639f4cd2-8018-4069-a980-85ee74cdabe1,Control
7de986f3-2716-4105-ac58-bdd0e93d9ed5,Control
fb2ecf1f-5480-4e67-b5f8-bdd5deeca36c,Control
dd438f68-7ba6-4bf0-9356-5eefeca358a4,Control
c2b0164f-6d50-4965-bcb4-ad411193f450,Control
c4b3f154-cd56-45a9-868b-773019362f79,Control
eed030c5-fdae-4a37-a88f-338e3d7442e2,Control
a244e770-91d5-4f95-b726-342851402ab9,Control
38d82378-d211-4f86-ad61-2f10d779cf8d,Control
38ec0d99-c679-46ad-b1d6-6023f044600f,Control
57c7f1d2-1ec0-467f-9f4e-15e81e99952c,Control
3a2d7131-0216-4c34-80ec-8e79d9cc25fb,Control
07d8bf75-0b75-4207-8d36-92083f08b9c9,Control
d7012416-2245-440b-bf19-0f38e48b5b8b,Control
5ec2ae59-7975-4b32-8ea0-1eee0f4f3747,Control
f7e17375-f535-4a13-a0a3-619df3f4fcaa,Control
b7df5a23-93ac-4c17-b59e-850ff7a967e3,Control
df7dea6a-9f69-4187-8b6b-7c9d0607f023,Control
cb2647fb-ec70-43ea-ba2c-1c96c52873f5,Control
2de42d86-3bf5-4e54-acd3-6d9f80f965c1,Control
