customer_nk,original_incentive_name
2855ab25-0d41-4df5-a51c-7efcd0f4a86c,Control
c49398c4-a646-4d25-a4d9-2ba89e3752b2,Control
0aebc144-3867-4af6-94e5-2985629e3ed3,Control
398c3631-8297-42c7-bb5f-5fc9282f97b8,Control
3d7d62cb-8334-4f2d-8161-48b148dbf063,Control
4f9838d5-2c69-401e-ae1a-df3fb53bd37b,Control
818cfd9d-d4fd-400c-8e49-c31d3789bc68,Control
9ddb1ec2-5199-4bfd-ab05-d63acb792564,Control
f3649302-9632-4f03-a71e-6bc5763dd10a,Control
1ee126b6-49b3-4beb-ac43-00035fa937a5,Control
d41f0bf0-3df3-4c37-be70-c88380d32d51,Control
de298c25-44cd-438e-aed1-7edf301139fc,Control
26863580-1800-48ce-8429-f9b36322857b,Control
8d086a9f-1383-4886-a5f2-cb182fd1c87a,Control
fa500e77-eeb9-4757-af92-170f8a047518,Control
d8e6990d-fc1a-4778-b4bc-5463bedddf21,Control
54ef2939-f0fb-4a67-b5c9-e71090128ebc,Control
75e92801-1427-45cc-9cc7-580f1c5eb359,Control
0b1a9120-013e-4af3-a4a3-9180ad059cfe,Control
14365bcb-2f73-4356-ba8f-9d333a19dd1b,Control
2c3a88b4-d672-4080-89f3-3bcfc3473d3c,Control
142362dc-209d-41b0-ae2d-c4787b6f22b1,Control
9362d978-d84c-4a86-9f39-4fb038ee8fd5,Control
8f36d109-23f6-4c3e-ace9-0a04314c45ee,Control
8b84fce7-b711-4da4-ac57-ba9e3d449745,Control
b4411210-8465-49f2-8179-2a5c95417cf7,Control
a5a00e89-52eb-49a3-894c-932c5e677435,Control
838ce06a-86c6-46b8-b63b-64d2153010c0,Control
3678aa2c-bbc0-4f72-965b-1f58d0da0ae0,Control
0d2e67df-66a9-4163-abe0-2c76d8c3a105,Control
fa18c909-38d8-4e36-8e20-b485fc24051e,Control
ee599056-f699-4227-9562-5046c5698969,Control
62ccf3f9-0968-4e44-ac4e-4e239b7a265b,Control
e5f2260a-1c6b-4c15-b253-e6a3922dccd1,Control
7075de32-e417-435d-9b2f-a93d279209a8,Control
53c1b005-f1c7-40d5-97c0-be823414fbc1,Control
ef3779ca-848f-4505-9d38-6117b5656de6,Control
d8212021-9145-4209-aae6-62c1a831df45,Control
5db62d85-eb05-4f5b-9e09-09fde56980a5,Control
9d74598f-d4ff-487c-8a2f-c784b9c441ba,Control
4bb031c8-f934-45c9-9591-7718bd27b325,Control
3b2fdc68-f095-44e1-a950-4c60206172bd,Control
24bc521a-a16e-444a-ae2b-4a703795598a,Control
bd50502d-01f0-4664-ae2f-40019b3397ba,Control
74939be6-765f-40e4-9cd8-44444366fe1b,Control
2892577e-6e11-4142-a731-9e109aebb260,Control
bfae6573-12ea-45cd-acdf-99cc3e9c73d0,Control
b0dda9ac-5cdf-489b-9289-1017207f2bba,Control
878404f1-d900-43a8-ab3b-b461f3a3ae06,Control
9b6102df-6e01-4832-9f85-d0c6100b326f,Control
90baff77-b140-467c-bf91-440b9d0031b3,Control
81a1ee2e-1428-4f41-a89b-5a157b6d17af,Control
b275047e-2bdf-4481-9748-3a301fdc1236,Control
c1ca8aaa-2aba-4af4-ae11-ccb0992afc96,Control
44aa92c9-7dec-47e8-a4f3-9f3ea81ce7a2,Control
d1aa54c9-46a2-40ed-8ca8-390b8302e289,Control
4d94c47d-632c-4859-93ee-044b530f71e5,Control
63992e45-51cb-47a5-96a5-d99da2855288,Control
782d2be5-41f2-4f94-9a8e-da8b8db8d3c7,Control
7de71e9f-e1f0-4c91-a88a-0035579fc259,Control
ef7e0189-b470-4cf3-b682-730c762d555d,Control
9ef9c429-3e2d-4e6a-8045-7cb8ab1ae633,Control
0e210e75-e692-4998-858d-8581b737d4fc,Control
2a537f31-473f-4f52-a4c4-e947a38ec684,Control
2be6fc08-eb39-4773-bddc-8dd5811b68ab,Control
4de41cc4-a900-4add-841d-fa51635ff508,Control
392db9b4-05ff-438c-8c9d-8bdaea07ada7,Control
aa92545f-e935-4f47-b112-bd8ee936f89c,Control
9300278b-5d20-46a9-b9bd-b53c83886fea,Control
d606183f-c501-440c-8810-e430945430dd,Control
4eb2c7b8-beea-4de8-ba06-b4c1a93c960b,Control
6e69b4ce-8a23-4513-9505-4629074d276f,Control
c6790b10-89ce-4e58-bb89-9fa7af8f9bb1,Control
d8da1bfa-7820-42c6-898f-8ba5827f1fe4,Control
